,AREA_NUMBE,COMMUNITY,AREA_NUM_1
0,35,DOUGLAS,35
1,36,OAKLAND,36
2,37,FULLER PARK,37
3,38,GRAND BOULEVARD,38
4,39,KENWOOD,39
5,4,LINCOLN SQUARE,4
6,40,WASHINGTON PARK,40
7,41,HYDE PARK,41
8,42,WOODLAWN,42
9,1,ROGERS PARK,1
10,11,JEFFERSON PARK,11
11,12,FOREST GLEN,12
12,13,NORTH PARK,13
13,14,ALBANY PARK,14
14,15,PORTAGE PARK,15
15,16,IRVING PARK,16
16,17,DUNNING,17
17,18,MONTCLARE,18
18,19,BELMONT CRAGIN,19
19,2,WEST RIDGE,2
20,20,HERMOSA,20
21,21,AVONDALE,21
22,22,LOGAN SQUARE,22
23,23,HUMBOLDT PARK,23
24,24,WEST TOWN,24
25,25,AUSTIN,25
26,26,WEST GARFIELD PARK,26
27,27,EAST GARFIELD PARK,27
28,28,NEAR WEST SIDE,28
29,29,NORTH LAWNDALE,29
30,3,UPTOWN,3
31,30,SOUTH LAWNDALE,30
32,31,LOWER WEST SIDE,31
33,33,NEAR SOUTH SIDE,33
34,34,ARMOUR SQUARE,34
35,10,NORWOOD PARK,10
36,8,NEAR NORTH SIDE,8
37,32,LOOP,32
38,43,SOUTH SHORE,43
39,44,CHATHAM,44
40,45,AVALON PARK,45
41,46,SOUTH CHICAGO,46
42,47,BURNSIDE,47
43,59,MCKINLEY PARK,59
44,6,LAKE VIEW,6
45,48,CALUMET HEIGHTS,48
46,49,ROSELAND,49
47,5,NORTH CENTER,5
48,50,PULLMAN,50
49,51,SOUTH DEERING,51
50,52,EAST SIDE,52
51,53,WEST PULLMAN,53
52,54,RIVERDALE,54
53,55,HEGEWISCH,55
54,56,GARFIELD RIDGE,56
55,57,ARCHER HEIGHTS,57
56,58,BRIGHTON PARK,58
57,60,BRIDGEPORT,60
58,61,NEW CITY,61
59,62,WEST ELSDON,62
60,63,GAGE PARK,63
61,64,CLEARING,64
62,65,WEST LAWN,65
63,66,CHICAGO LAWN,66
64,67,WEST ENGLEWOOD,67
65,68,ENGLEWOOD,68
66,69,GREATER GRAND CROSSING,69
67,7,LINCOLN PARK,7
68,70,ASHBURN,70
69,71,AUBURN GRESHAM,71
70,72,BEVERLY,72
71,73,WASHINGTON HEIGHTS,73
72,74,MOUNT GREENWOOD,74
73,75,MORGAN PARK,75
74,76,OHARE,76
75,77,EDGEWATER,77
76,9,EDISON PARK,9
